mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_init,param_max_iter,param_n_clusters,param_n_init,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.47037792205810547,0.11006358252000813,0.0014568169911702473,0.0006452965321192243,k-means++,300,3,10,"{'init': 'k-means++', 'max_iter': 300, 'n_clusters': 3, 'n_init': 10}",-223.86003676141473,-113.8790395312006,-288.7550555718764,-208.8313772881639,72.17940934798915,33
1.0202834606170654,0.1124068761252846,0.006113847096761067,0.0017556830148745337,k-means++,300,3,20,"{'init': 'k-means++', 'max_iter': 300, 'n_clusters': 3, 'n_init': 20}",-223.86003676141473,-113.8790395312006,-288.7550555718764,-208.8313772881639,72.17940934798915,33
0.7677843570709229,0.46852653913927156,0.0022222201029459634,0.0009004739554088791,k-means++,300,4,10,"{'init': 'k-means++', 'max_iter': 300, 'n_clusters': 4, 'n_init': 10}",-190.89763862551433,-117.84785229939892,-244.48036588033702,-184.4086189350834,51.90073157071885,25
0.13783367474873862,0.028510538346935982,0.0014032522837320964,0.00029096115594725463,k-means++,300,4,20,"{'init': 'k-means++', 'max_iter': 300, 'n_clusters': 4, 'n_init': 20}",-190.89763862551433,-117.84785229939892,-244.48036588033702,-184.4086189350834,51.90073157071885,25
0.06188035011291504,0.0019088647598307952,0.0014495849609375,0.00042728791252186264,k-means++,300,5,10,"{'init': 'k-means++', 'max_iter': 300, 'n_clusters': 5, 'n_init': 10}",-190.27967591327857,-86.55061598938805,-254.26718612720504,-177.03249267662386,69.1077799405993,21
0.11758987108866374,0.0014311469088443382,0.0016101996103922527,0.000847902312698609,k-means++,300,5,20,"{'init': 'k-means++', 'max_iter': 300, 'n_clusters': 5, 'n_init': 20}",-190.27967591327857,-86.55061598938805,-254.26718612720504,-177.03249267662386,69.1077799405993,21
0.06616830825805664,0.008959087570748186,0.0008382797241210938,0.0006291293945385358,k-means++,300,6,10,"{'init': 'k-means++', 'max_iter': 300, 'n_clusters': 6, 'n_init': 10}",-169.48072480758387,-73.06564846867708,-251.97676241942992,-164.84104523189697,73.11380008223983,13
0.2114713986714681,0.013557688942787121,0.0025343894958496094,0.00152055191726455,k-means++,300,6,20,"{'init': 'k-means++', 'max_iter': 300, 'n_clusters': 6, 'n_init': 20}",-169.48072480758387,-73.06564846867708,-254.84690515408502,-165.79775947678198,74.25756749652953,15
0.10097312927246094,0.0060332413582997926,0.001708984375,0.0009727542501435378,k-means++,300,7,10,"{'init': 'k-means++', 'max_iter': 300, 'n_clusters': 7, 'n_init': 10}",-165.74781788463136,-68.8244996810058,-163.05892755227018,-132.54374837263578,45.069683255851764,3
0.3123372395833333,0.00947919500845464,0.0013353029886881511,0.0004694318467803585,k-means++,300,7,20,"{'init': 'k-means++', 'max_iter': 300, 'n_clusters': 7, 'n_init': 20}",-165.74781788463136,-68.8244996810058,-162.51638597378187,-132.36290117980636,44.94779851350303,1
0.060645500818888344,0.013477014355084705,0.0018598238627115886,0.0004906814356539931,k-means++,500,3,10,"{'init': 'k-means++', 'max_iter': 500, 'n_clusters': 3, 'n_init': 10}",-223.86003676141473,-113.8790395312006,-288.7550555718764,-208.8313772881639,72.17940934798915,33
0.19655092557271323,0.023344333035309226,0.002368927001953125,0.0011843869530856414,k-means++,500,3,20,"{'init': 'k-means++', 'max_iter': 500, 'n_clusters': 3, 'n_init': 20}",-223.86003676141473,-113.8790395312006,-288.7550555718764,-208.8313772881639,72.17940934798915,33
0.1324470043182373,0.006292379446161965,0.001856088638305664,0.0006410285395740383,k-means++,500,4,10,"{'init': 'k-means++', 'max_iter': 500, 'n_clusters': 4, 'n_init': 10}",-190.89763862551433,-117.84785229939892,-244.48036588033702,-184.4086189350834,51.90073157071885,25
0.21268184979756674,0.05012875352651659,0.001665671666463216,0.000472945278375638,k-means++,500,4,20,"{'init': 'k-means++', 'max_iter': 500, 'n_clusters': 4, 'n_init': 20}",-190.89763862551433,-117.84785229939892,-244.48036588033702,-184.4086189350834,51.90073157071885,25
0.1074215571085612,0.03071358797470405,0.0026863416035970054,0.0013275429137172578,k-means++,500,5,10,"{'init': 'k-means++', 'max_iter': 500, 'n_clusters': 5, 'n_init': 10}",-190.27967591327857,-86.55061598938805,-254.26718612720504,-177.03249267662386,69.1077799405993,21
0.32904791831970215,0.06889837465096721,0.003968159357706706,0.003824678423208182,k-means++,500,5,20,"{'init': 'k-means++', 'max_iter': 500, 'n_clusters': 5, 'n_init': 20}",-190.27967591327857,-86.55061598938805,-254.26718612720504,-177.03249267662386,69.1077799405993,21
0.1409637133280436,0.015187123895775798,0.001665671666463216,0.0012467679382869364,k-means++,500,6,10,"{'init': 'k-means++', 'max_iter': 500, 'n_clusters': 6, 'n_init': 10}",-169.48072480758387,-73.06564846867708,-251.97676241942992,-164.84104523189697,73.11380008223983,13
0.2778950532277425,0.10911628777825047,0.002369562784830729,0.0019184349086719004,k-means++,500,6,20,"{'init': 'k-means++', 'max_iter': 500, 'n_clusters': 6, 'n_init': 20}",-169.48072480758387,-73.06564846867708,-254.84690515408502,-165.79775947678198,74.25756749652953,15
0.1492762565612793,0.06395155208869845,0.001264492670694987,0.0005153023777442191,k-means++,500,7,10,"{'init': 'k-means++', 'max_iter': 500, 'n_clusters': 7, 'n_init': 10}",-165.74781788463136,-68.8244996810058,-163.05892755227018,-132.54374837263578,45.069683255851764,3
0.24873455365498862,0.044249973445419505,0.0017004807790120442,0.0006045659704907399,k-means++,500,7,20,"{'init': 'k-means++', 'max_iter': 500, 'n_clusters': 7, 'n_init': 20}",-165.74781788463136,-68.8244996810058,-162.51638597378187,-132.36290117980636,44.94779851350303,1
0.0733184814453125,0.01842433055468275,0.0017007986704508464,0.0010021651953183676,random,300,3,10,"{'init': 'random', 'max_iter': 300, 'n_clusters': 3, 'n_init': 10}",-223.86003676141473,-113.8790395312006,-288.7550555718764,-208.8313772881639,72.17940934798915,33
0.14588061968485513,0.05606426642371271,0.0027709007263183594,0.0013087270043786643,random,300,3,20,"{'init': 'random', 'max_iter': 300, 'n_clusters': 3, 'n_init': 20}",-223.86003676141473,-113.8790395312006,-288.7550555718764,-208.8313772881639,72.17940934798915,33
0.047928810119628906,0.019764110420370417,0.0028423468271891275,0.0026042256788649278,random,300,4,10,"{'init': 'random', 'max_iter': 300, 'n_clusters': 4, 'n_init': 10}",-190.89763862551433,-117.84785229939892,-244.48036588033702,-184.4086189350834,51.90073157071885,25
0.14533782005310059,0.039018655911156996,0.004541953404744466,0.001762658480540363,random,300,4,20,"{'init': 'random', 'max_iter': 300, 'n_clusters': 4, 'n_init': 20}",-190.89763862551433,-117.84785229939892,-244.48036588033702,-184.4086189350834,51.90073157071885,25
0.06464838981628418,0.020076949866364192,0.001688083012898763,0.0009425166480229507,random,300,5,10,"{'init': 'random', 'max_iter': 300, 'n_clusters': 5, 'n_init': 10}",-190.27967591327857,-86.55061598938805,-253.0589584615854,-176.62975012141735,68.6585628736,17
0.13129289944966635,0.04729546069032247,0.0015267531077067058,0.0007120017188775175,random,300,5,20,"{'init': 'random', 'max_iter': 300, 'n_clusters': 5, 'n_init': 20}",-190.27967591327857,-86.55061598938805,-253.0589584615854,-176.62975012141735,68.6585628736,17
0.10713426272074382,0.0448241616700575,0.0036487579345703125,0.002011879956849965,random,300,6,10,"{'init': 'random', 'max_iter': 300, 'n_clusters': 6, 'n_init': 10}",-169.48072480758387,-71.76662810323371,-163.700047283861,-134.98246673155953,44.76260156477515,9
0.12681937217712402,0.05765917668538841,0.001001596450805664,1.8570139321562326e-06,random,300,6,20,"{'init': 'random', 'max_iter': 300, 'n_clusters': 6, 'n_init': 20}",-169.48072480758387,-71.76662810323371,-163.700047283861,-134.98246673155953,44.76260156477515,9
0.0649260679880778,0.02690958988070337,0.003240187962849935,0.0024252188919560705,random,300,7,10,"{'init': 'random', 'max_iter': 300, 'n_clusters': 7, 'n_init': 10}",-165.4716043528794,-68.8244996810058,-165.20068475549974,-133.16559626312832,45.496160141265946,7
0.1708227793375651,0.0441503408443516,0.003711541493733724,0.0012086336233495573,random,300,7,20,"{'init': 'random', 'max_iter': 300, 'n_clusters': 7, 'n_init': 20}",-165.16307862318993,-68.8244996810058,-165.20068475549974,-133.06275435323184,45.42330808484137,5
0.06201648712158203,0.020817036885655747,0.0015246868133544922,0.0007207221580055738,random,500,3,10,"{'init': 'random', 'max_iter': 500, 'n_clusters': 3, 'n_init': 10}",-223.86003676141473,-113.8790395312006,-288.7550555718764,-208.8313772881639,72.17940934798915,33
0.1313649813334147,0.03513817357305372,0.0027147928873697915,0.0014475078761430674,random,500,3,20,"{'init': 'random', 'max_iter': 500, 'n_clusters': 3, 'n_init': 20}",-223.86003676141473,-113.8790395312006,-288.7550555718764,-208.8313772881639,72.17940934798915,33
0.04296573003133138,0.013532399589122258,0.0011053085327148438,0.0008288854528480438,random,500,4,10,"{'init': 'random', 'max_iter': 500, 'n_clusters': 4, 'n_init': 10}",-190.89763862551433,-117.84785229939892,-244.48036588033702,-184.4086189350834,51.90073157071885,25
0.07706745465596516,0.009462444100328253,0.0014513333638509114,0.000420946860124279,random,500,4,20,"{'init': 'random', 'max_iter': 500, 'n_clusters': 4, 'n_init': 20}",-190.89763862551433,-117.84785229939892,-244.48036588033702,-184.4086189350834,51.90073157071885,25
0.07976063092549641,0.008245766861404796,0.002713759740193685,0.0024247367928508907,random,500,5,10,"{'init': 'random', 'max_iter': 500, 'n_clusters': 5, 'n_init': 10}",-190.27967591327857,-86.55061598938805,-253.0589584615854,-176.62975012141735,68.6585628736,17
0.13196937243143717,0.04011818155665301,0.004274924596150716,0.002208141875532959,random,500,5,20,"{'init': 'random', 'max_iter': 500, 'n_clusters': 5, 'n_init': 20}",-190.27967591327857,-86.55061598938805,-253.0589584615854,-176.62975012141735,68.6585628736,17
0.041684865951538086,0.008278337012968791,0.0015248457590738933,0.0003989720720288786,random,500,6,10,"{'init': 'random', 'max_iter': 500, 'n_clusters': 6, 'n_init': 10}",-169.48072480758387,-71.76662810323371,-163.700047283861,-134.98246673155953,44.76260156477515,9
0.13426979382832846,0.04616125475690167,0.0011748472849527996,0.00024003192959520212,random,500,6,20,"{'init': 'random', 'max_iter': 500, 'n_clusters': 6, 'n_init': 20}",-169.48072480758387,-71.76662810323371,-163.700047283861,-134.98246673155953,44.76260156477515,9
0.07249919573465984,0.020554278007912586,0.0010101000467936199,0.00040720861887420275,random,500,7,10,"{'init': 'random', 'max_iter': 500, 'n_clusters': 7, 'n_init': 10}",-165.4716043528794,-68.8244996810058,-165.20068475549974,-133.16559626312832,45.496160141265946,7
0.09644842147827148,0.012244347983200453,0.0020324389139811196,0.0006845982741338873,random,500,7,20,"{'init': 'random', 'max_iter': 500, 'n_clusters': 7, 'n_init': 20}",-165.16307862318993,-68.8244996810058,-165.20068475549974,-133.06275435323184,45.42330808484137,5
